,Country,Land Area(Km2),Capital/Major City,Largest city,Calling Code,Official language,Latitude,Longitude,Population_Density
0,Afghanistan,652230.0,Kabul,Kabul,93.0,Pashto,33.93911,67.709953,58.325673458749215
1,Albania,28748.0,Tirana,Tirana,355.0,Albanian,41.153332,20.168331,99.28311534715459
2,Algeria,2381741.0,Algiers,Algiers,213.0,Arabic,28.033886,1.6596259999999998,18.07629544942124
3,Andorra,468.0,Andorra la Vella,Andorra la Vella,376.0,Catalan,42.506285,1.521801,164.83333333333334
4,Angola,1246700.0,Luanda,Luanda,244.0,Portuguese,-11.202692,17.873887,25.527628940402664
5,Antigua and Barbuda,443.0,"St. John's, Saint John","St. John's, Saint John",1.0,English,17.060816,-61.796428000000006,219.22799097065462
6,Argentina,2780400.0,Buenos Aires,Buenos Aires,54.0,Spanish,-38.416097,-63.616672,16.162678751258813
7,Armenia,29743.0,Yerevan,Yerevan,374.0,Armenian,40.069099,45.038189,99.44292774770534
8,Australia,7741220.0,Canberra,Sydney,61.0,,-25.274398,133.775136,3.328494087495253
9,Austria,83871.0,Vienna,Vienna,43.0,German,47.516231,14.550072,105.84191198388001
10,Azerbaijan,86600.0,Baku,Baku,994.0,Azerbaijani language,40.143105,47.576927000000005,115.74270207852194
11,The Bahamas,13880.0,"Nassau, Bahamas","Nassau, Bahamas",1.0,English,25.03428,-77.39628,28.060662824207494
12,Bahrain,765.0,Manama,Riffa,973.0,Arabic,26.0667,50.5577,1962.921568627451
13,Bangladesh,148460.0,Dhaka,Dhaka,880.0,Bengali,23.684994,90.356331,1126.975872288832
14,Barbados,430.0,Bridgetown,Bridgetown,1.0,English,13.193887,-59.543198,667.5
15,Belarus,207600.0,Minsk,Minsk,375.0,Russian,53.709807,27.953389,45.60142581888247
16,Belgium,30528.0,City of Brussels,Brussels,32.0,French,50.503887,4.469936,376.1810469077568
17,Belize,22966.0,Belmopan,Belize City,501.0,English,17.189877,-88.49765,16.99699555865192
18,Benin,112622.0,Porto-Novo,Cotonou,229.0,French,9.30769,2.315834,104.78548596189022
19,Bhutan,38394.0,Thimphu,Thimphu,975.0,Dzongkha,27.514162,90.433601,18.939026931291348
20,Bolivia,1098581.0,Sucre,Santa Cruz de la Sierra,591.0,Spanish,-16.290154,-63.588653,10.479973711542435
21,Bosnia and Herzegovina,51197.0,Sarajevo,Tuzla Canton,387.0,Bosnian,43.915886,17.679076000000002,64.47643416606442
22,Botswana,581730.0,Gaborone,Gaborone,267.0,English,-22.328474,24.684866,4.033106423942379
23,Brazil,8515770.0,Bras���,S����,55.0,Portuguese,-14.235004,-51.92528,24.960680830975942
24,Brunei,5765.0,Bandar Seri Begawan,,673.0,Malay,4.535277,114.727669,75.15784908933217
25,Bulgaria,110879.0,Sofia,Sofia,359.0,Bulgarian,42.733883,25.48583,62.913274831122216
26,Burkina Faso,274200.0,Ouagadougou,Ouagadougou,226.0,French,12.238333,-1.561593,74.11151714077316
27,Burundi,27830.0,Bujumbura,Bujumbura,257.0,Kirundi,-3.373056,29.918886,414.32195472511677
28,Ivory Coast,322463.0,Yamoussoukro,Abidjan,225.0,French,7.539989,-5.54708,79.75037136043515
29,Cape Verde,4033.0,Praia,Praia,238.0,Portuguese,16.5388,-23.0418,119.91767914703695
30,Cambodia,181035.0,Phnom Penh,Phnom Penh,855.0,Khmer language,12.565679,104.990963,91.06825751926424
31,Cameroon,475440.0,Yaound�,Douala,237.0,French,7.369722,12.354722,54.42617364967188
32,Canada,9984670.0,Ottawa,Toronto,1.0,French,56.130366,-106.346771,3.704877677479576
